生詞,冊,課-序號
陳月美,1,1-1
李明華,1,1-1
王開文,1,1-1
你,1,1-1
來,1,1-1
是,1,1-1
小姐,1,1-1
嗎,1,1-1
接,1,1-1
我們,1,1-1
我,1,1-1
這,1,1-1
先生,1,1-1
好,1,1-1
姓,1,1-1
叫,1,1-1
你們,1,1-1
臺灣,1,1-1
台灣,1,1-1
歡迎,1,1-1
請問,1,1-1
是的,1,1-1
謝謝,1,1-1
不客氣,1,1-1
你好,1,1-1
請,1,1-2
喝,1,1-2
茶,1,1-2
很,1,1-2
好喝,1,1-2
什麼,1,1-2
人,1,1-2
喜歡,1,1-2
呢,1,1-2
他,1,1-2
不,1,1-2
哪,1,1-2
要,1,1-2
咖啡,1,1-2
烏龍茶,1,1-2
日本,1,1-2
美國,1,1-2
對不起,1,1-2
哪國,1,1-2
張怡君,1,2-1
馬安同,1,2-1
的,1,2-1
家人,1,2-1
家,1,2-1
漂亮,1,2-1
房子,1,2-1
坐,1,2-1
好,1,2-1
有,1,2-1
多,1,2-1
照片,1,2-1
都,1,2-1
照相,1,2-1
張,1,2-1
好看,1,2-1
誰,1,2-1
姐姐 ,1,2-1
妹妹,1,2-1
爸爸,1,2-1
媽媽,1,2-1
請進,1,2-1
田中誠一,1,2-2
伯母,1,2-2
您,1,2-2
名字,1,2-2
書,1,2-2
哥哥,1,2-2
老師,1,2-2
看書,1,2-2
幾,1,2-2
個,1,2-2
沒,1,2-2
兄弟,1,2-2
姐妹,1,2-2
五,1,2-2
兩,1,2-2
週末,1,3-1
聽,1,3-1
音樂,1,3-1
運動,1,3-1
打,1,3-1
網球,1,3-1
棒球,1,3-1
和,1,3-1
游泳,1,3-1
常,1,3-1
籃球,1,3-1
也,1,3-1
踢,1,3-1
足球,1,3-1
覺得,1,3-1
好玩,1,3-1
明天,1,3-1
早上,1,3-1
去,1,3-1
怎麼樣,1,3-1
啊,1,3-1
做什麼,1,3-1
好啊,1,3-1
白如玉,1,3-2
今天,1,3-2
晚上,1,3-2
看,1,3-2
電影,1,3-2
妳,1,3-2
想,1,3-2
還是,1,3-2
吧,1,3-2
可以,1,3-2
學,1,3-2
中文,1,3-2
一起,1,3-2
吃,1,3-2
晚飯,1,3-2
菜,1,3-2
越南,1,3-2
好不好,1,3-2
一共,1,4-1
多少,1,4-1
錢,1,4-1
老闆,1,4-1
買,1,4-1
杯,1,4-1
熱,1,4-1
包子,1,4-1
要,1,4-1
大,1,4-1
中,1,4-1
小,1,4-1
幫,1,4-1
微波,1,4-1
百,1,4-1
塊,1,4-1
好的,1,4-1
外帶,1,4-1
內用,1,4-1
支,1,4-2
新,1,4-2
手機,1,4-2
太,1,4-2
舊,1,4-2
了,1,4-2
種,1,4-2
能,1,4-2
上網,1,4-2
那,1,4-2
貴,1,4-2
賣,1,4-2
便宜,1,4-2
要,1,4-2
萬,1,4-2
千,1,4-2
為什麼,1,4-2
牛肉,1,5-1
麵,1,5-1
真,1,5-1
好吃,1,5-1
說,1,5-1
少,1,5-1
有名,1,5-1
小吃,1,5-1
最,1,5-1
湯,1,5-1
這麼,1,5-1
知道,1,5-1
家,1,5-1
店,1,5-1
一定,1,5-1
點,1,5-1
碗,1,5-1
是 啊,1,5-1
,1,5-1
臭豆腐,1,5-1
太好了,1,5-1
昨天,1,5-2
餐廳,1,5-2
可是,1,5-2
辣,1,5-2
怕,1,5-2
所以,1,5-2
自己,1,5-2
做飯,1,5-2
得,1,5-2
會,1,5-2
甜點,1,5-2
不錯,1,5-2
可以,1,5-2
教,1,5-2
到,1,5-2
有一點,1,5-2
不好,1,5-2
他們,1,6-1
學校,1,6-1
在,1,6-1
山上,1,6-1
哪裡,1,6-1
遠,1,6-1
那裡,1,6-1
風景,1,6-1
美,1,6-1
前面,1,6-1
海,1,6-1
後面,1,6-1
山,1,6-1
真的,1,6-1
地方,1,6-1
現在,1,6-1
附近,1,6-1
樓下,1,6-1
找,1,6-1
朋友,1,6-1
上課,1,6-1
花蓮,1,6-1
聽說,1,6-1
近,1,6-2
方便,1,6-2
這裡,1,6-2
學生,1,6-2
在,1,6-2
東西,1,6-2
外面,1,6-2
裡面,1,6-2
商店,1,6-2
吃飯,1,6-2
宿舍,1,6-2
樓,1,6-2
棟,1,6-2
大樓,1,6-2
圖書館,1,6-2
旁邊,1,6-2
教室,1,6-2
游泳池,1,6-2
點,1,7-1
KTV,1,7-1
唱歌,1,7-1
分,1,7-1
見面,1,7-1
從,1,7-1
中午,1,7-1
得,1,7-1
銀行,1,7-1
時候,1,7-1
後天,1,7-1
大安,1,7-1
下次,1,7-1
沒問題,1,7-1
對了,1,7-1
有空,1,7-1
再見,1,7-1
在,1,7-2
午餐,1,7-2
剛,1,7-2
下課,1,7-2
下午,1,7-2
半,1,7-2
比賽,1,7-2
結束,1,7-2
最近,1,7-2
忙,1,7-2
每,1,7-2
天,1,7-2
書法,1,7-2
課,1,7-2
開始,1,7-2
字,1,7-2
寫,1,7-2
可以,1,7-2
問,1,7-2
等一下,1,7-2
有事,1,7-2
有意思,1,7-2
坐,1,8-1
火車,1,8-1
跟,1,8-1
玩,1,8-1
怎麼,1,8-1
慢,1,8-1
鐘頭,1,8-1
比較,1,8-1
快,1,8-1
車票,1,8-1
非常,1,8-1
但是,1,8-1
又,1,8-1
舒服,1,8-1
站,1,8-1
或是,1,8-1
臺南,1,8-1
高鐵,1,8-1
網路上,1,8-1
便利商店,1,8-1
同學,1,8-2
參觀,1,8-2
古代,1,8-2
騎,1,8-2
機車,1,8-2
載,1,8-2
捷運,1,8-2
比,1,8-2
故宮博物院（故宮）,1,8-2
中國,1,8-2
公共汽車,1,8-2
公車,1,8-2
不行,1,8-2
計程車,1,8-2
差不多,1,8-2
星期,1,9-1
回國,1,9-1
打算,1,9-1
電視,1,9-1
影片,1,9-1
旅行,1,9-1
功課,1,9-1
出去,1,9-1
大概,1,9-1
放假,1,9-1
下個星期,1,9-1
有時候,1,9-1
多久,1,9-1
臺東,1,9-1
女,1,9-2
月,1,9-2
號,1,9-2
帶,1,9-2
她,1,9-2
還,1,9-2
建議,1,9-2
夜市,1,9-2
應該,1,9-2
逛,1,9-2
特別,1,9-2
茶館,1,9-2
決定,1,9-2
要是,1,9-2
就,1,9-2
貓空,1,9-2
水果,1,10-1
黃色,1,10-1
芒果,1,10-1
給,1,10-1
